 Container oceanblue-s06-proof4-db-test-1 Running 
 Volume oceanblue-s06-proof4_proof-tls Creating 
 Volume oceanblue-s06-proof4_smoke-files Creating 
 Volume oceanblue-s06-proof4_proof-tls Creating 
 Volume oceanblue-s06-proof4_smoke-files Creating 
 Volume oceanblue-s06-proof4_proof-tls Created 
 Volume oceanblue-s06-proof4_proof-tls Created 
 Volume oceanblue-s06-proof4_smoke-files Created 
 Volume oceanblue-s06-proof4_smoke-files Created 
 Container oceanblue-s06-proof4-smoke-1 Creating 
 Container oceanblue-s06-proof4-smoke-1 Created 
 Container oceanblue-s06-proof4-proxy-1 Creating 
 Container oceanblue-s06-proof4-proxy-1 Created 
